Canteen,Pixel,Stall,Cuisine,Halal,Veg,Food,Price,Opening ,Precinct,Address,Phone,Distance,Signature food,,Seat Capacity,Rating
Food Court 14,,Taiwanese,Taiwanese,N,N,XL Large Chicken Chop Rice,5,,,,,,,,,3
Food Court 14,,Taiwanese,Taiwanese,N,N,Taiwanese Braised Pork Rice,3.8,,,,,,,,,3
Food Court 14,,Mini Wok,Chinese,N,N,Kung Bao Chicken Rice,3.5,,,,,,,,,3
Food Court 14,,Mini Wok,Chinese,N,N,Beef Hor Fun,4.5,,,,,,,,,3
Food Court 14,,Mini Wok,Chinese,N,N,Sambal Fish Fillet Rice,4,,,,,,,,,3
Food Court 14,,Mini Wok,Chinese,N,N,Black Pepper Chicken Rice,4,,,,,,,,,3
Food Court 14,,Roasted Chicken,Chinese,N,N,Roasted Chicken Rice,3.5,,,,,,,,,3
Food Court 14,,Roasted Chicken,Chinese,N,N,Steamed Chicken Rice,3.5,,,,,,,,,3
Food Court 14,,Malay Food,Malaysian,Y,N,Mee Rebus,2.8,,,,,,,,,3
Food Court 14,,Malay Food,Malaysian,Y,N,Mee Soto,2.8,,,,,,,,,3
Food Court 14,,Malay Food,Malaysian,Y,N,Lontong,2.8,,,,,,,,,3
Food Court 14,,Indian Food,Indian,Y,Y,Thosai,1.8,,,,,,,,,3
Food Court 14,,Indian Food,Indian,Y,Y,Prata,1.8,,,,,,,,,3
Food Court 16,,Tonkatsu Ramen,Japanese,N,N,Tonkotsu Ramen,5.8,,,,,,,,,3
Food Court 16,,Mixed Rice,Chinese,N,N,1 Meat 2 Veg,2.5,,,,,,,,,3
Food Court 16,,Mixed Rice,Chinese,N,N,2 Meat 1 Veg,3,,,,,,,,,3
Food Court 16,,Indian,Indian,Y,Y,Chapati 2 Veg,3,,,,,,,,,3
Food Court 16,,Vegetarian Food,Chinese,Y,Y,Vegetarian Bee Hoon,3,,,,,,,,,3
Food Court 16,,Korean Food,Korean,N,N,Korean Ramyeon,3,,,,,,,,,3
Food Court 16,,Fish Ball Noodles,Chinese,N,N,Fishball Soup,2.9,,,,,,,,,3
Food Court 16,,Fish Ball Noodles,Chinese,N,N,Teochew Fishball Minced Pork Noodle Soup,2.8,,,,,,,,,3
Food Court 16,,Fish Ball Noodles,Chinese,N,N,Teochew Fishball Minced Pork Noodle Dry,2.8,,,,,,,,,3
